"Fleet.Number","Registration","Details","Product","Distance","Unit","Litres","MPG","Cost"
"1523","YB15DNJ","Ford Transit Custom 290L1 Van Medium","Diesel",9131,"Miles",1732.89,23.95,2772.624
"1524","YB15DKD","Ford Transit Custom 290L1 Van Medium","Diesel",7077,"Miles",1044.38,30.81,1671.008
"1525","YB15DKF","Ford Transit Custom 290L1 Van Medium","Diesel",5770,"Miles",929.48,28.22,1487.168
"1526","YB15DKJ","Ford Transit Custom 290L1 Van Medium","Diesel",646,"Miles",154.52,19.01,247.232
"1527","YF15ZFZ","Ford Transit Custom 290L1 Van Medium","Diesel",6951,"Miles",1051.22,30.06,1681.952
"1528","YB15DLF","Ford Transit Custom 290L1 Van Medium","Diesel",6710,"Miles",1177.2,25.91,1883.52
"1529","YE15VNW","Ford Transit Custom 290L1 Van Medium","Diesel",9802,"Miles",1638.96,27.19,2622.336
"1530","YB15DND","Ford Transit Custom 290L1 Van Medium","Diesel",22233,"Miles",2901.04,34.84,4641.664
"1531","YB15DKV","Ford Transit Custom 290L1 Van Medium","Diesel",6081,"Miles",1002.83,27.57,1604.528
"1532","YF15LLW","Ford Transit Custom 290L1 Van Medium","Diesel",4974,"Miles",850.03,26.6,1360.048
"1533","YF15LSE","Ford Transit Custom 290L1 Van Medium","Diesel",4169,"Miles",901.69,21.02,1442.704
"1534","YB15DMY","Ford Transit Custom 290L1 Van Medium","Diesel",8183,"Miles",1285.62,28.94,2056.992
"1535","YB15DKX","Ford Transit Custom 290L1 Van Medium","Diesel",851,"Miles",195.41,19.8,312.656
"1536","YB15DLK","Ford Transit Custom 290L1 Van Medium","Diesel",4501,"Miles",814.87,25.11,1303.792
"1537","YB15DNO","Ford Transit Custom 290L1 Van Medium","Diesel",6755,"Miles",1232.54,24.92,1972.064
"1538","YB15DLY","Ford Transit Custom 290L1 Van Medium","Diesel",5389,"Miles",937.9,26.12,1500.64
"1539","YF15LWD","Ford Transit Custom 290L1 Van Medium","Diesel",3941,"Miles",833.12,21.5,1332.992
"1541","YF15LLA","Ford Transit Custom 290L1 Van Medium","Diesel",11310,"Miles",1671.82,30.75,2674.912
"1542","YF15LMJ","Ford Transit Custom 290L1 Van Medium","Diesel",6417,"Miles",1180.53,24.71,1888.848
"1543","YF15LUD","Ford Transit Custom 290L1 Van Medium","Diesel",4218,"Miles",817.07,23.47,1307.312
"1544","YF15LJN","Ford Transit Custom 290L1 Van Medium","Diesel",964,"Miles",251.11,17.45,401.776
"1545","YF15LRJ","Ford Transit Custom 290L1 Van Medium","Diesel",5524,"Miles",984.09,25.52,1574.544
"1546","YF15LPE","Ford Transit Custom 290L1 Van Medium","Diesel",7692,"Miles",1127.5,31.01,1804
"1547","YF15LWO","Ford Transit Custom 290L1 Van Medium","Diesel",4405,"Miles",814.33,24.59,1302.928
"1548","YF15LJY","Ford Transit Custom 290L1 Van Medium","Diesel",6767,"Miles",1184.79,25.97,1895.664
"1549","YE15VFD","Ford Transit Custom 290L1 Van Medium","Diesel",4902,"Miles",949.75,23.46,1519.6
"1550","YF15LNU","Ford Transit Custom 290L1 Van Medium","Diesel",1253,"Miles",283.26,20.11,453.216
"1551","YF15LKN","Ford Transit Custom 290L1 Van Medium","Diesel",13801,"Miles",1953.33,32.12,3125.328
"1552","YF15LLK","Ford Transit Custom 290L1 Van Medium","Diesel",5585,"Miles",908.66,27.94,1453.856
"1553","YF15LWU","Ford Transit Custom 290L1 Van Medium","Diesel",2478,"Miles",443.74,25.39,709.984
"1554","YF15LKJ","Ford Transit Custom 290L1 Van Medium","Diesel",3052,"Miles",570.69,24.31,913.104
